Wavelength,Intensity,Absorbance,Reflectance
850.804993,(null),0.082647,0.8267099999999999
864.326233,(null),0.08771,0.817128
877.7882080000001,(null),0.082494,0.827001
891.1908570000001,(null),0.068829,0.853436
904.53418,(null),0.060721,0.869519
917.818237,(null),0.05791,0.875165
931.04303,(null),0.054484,0.882096
944.208496,(null),0.050818,0.889574
957.314636,(null),0.049104,0.893092
970.361511,(null),0.048511,0.894312
983.349121,(null),0.049509,0.892259
996.277405,(null),0.049873,0.891512
1009.146362,(null),0.050569,0.890084
1021.956055,(null),0.050139,0.890966
1034.706421,(null),0.050722,0.8897699999999999
1047.397461,(null),0.050777,0.8896579999999999
1060.029297,(null),0.051349,0.888487
1072.601807,(null),0.052394,0.886352
1085.11499,(null),0.053444,0.884211
1097.568848,(null),0.056227,0.878563
1109.963501,(null),0.067429,0.856192
1122.298828,(null),0.09468699999999999,0.804105
1134.574829,(null),0.100642,0.7931550000000001
1146.791504,(null),0.07994800000000001,0.831863
1158.948853,(null),0.07642699999999999,0.838635
1171.046997,(null),0.07589799999999999,0.839657
1183.085815,(null),0.070676,0.849814
1195.065308,(null),0.066126,0.858764
1206.985596,(null),0.072704,0.845855
1218.846558,(null),0.074965,0.841463
1230.648193,(null),0.066361,0.8583
1242.390503,(null),0.061513,0.867935
1254.073486,(null),0.060251,0.87046
1265.697266,(null),0.060115,0.870733
1277.261719,(null),0.061687,0.867587
1288.766846,(null),0.064038,0.862903
1300.212646,(null),0.065998,0.859017
1311.599243,(null),0.06794500000000001,0.855175
1322.926514,(null),0.071247,0.848698
1334.194458,(null),0.075879,0.8396940000000001
1345.403076,(null),0.0833,0.825468
1356.55249,(null),0.085336,0.821607
1367.642456,(null),0.09110500000000001,0.810765
1378.673218,(null),0.09196,0.8091699999999999
1389.644775,(null),0.09415900000000001,0.805084
1400.556885,(null),0.09016,0.812531
1411.40979,(null),0.088062,0.816466
1422.203369,(null),0.089174,0.814378
1432.937622,(null),0.087214,0.818062
1443.612671,(null),0.08709600000000001,0.818284
1454.228271,(null),0.08694300000000001,0.818572
1464.784668,(null),0.085407,0.821472
1475.281738,(null),0.08288,0.8262659999999999
1485.719604,(null),0.082886,0.826255
1496.098145,(null),0.08371099999999999,0.8246869999999999
1506.417236,(null),0.085578,0.821149
1516.677246,(null),0.089076,0.814562
1526.877808,(null),0.092041,0.80902
1537.019043,(null),0.095113,0.8033169999999999
1547.101074,(null),0.097354,0.799183
1557.123779,(null),0.09986,0.794584
1567.08728,(null),0.103361,0.788205
1576.991333,(null),0.110539,0.775284
1586.836182,(null),0.11743,0.76308
1596.621704,(null),0.125384,0.749231
1606.3479,(null),0.139622,0.725067
1616.014893,(null),0.152309,0.704192
1625.622437,(null),0.162633,0.687649
1635.170776,(null),0.191018,0.644143
1644.659912,(null),0.221082,0.60106
1654.0896,(null),0.199446,0.631763
1663.460083,(null),0.160035,0.691775
1672.77124,(null),0.1264,0.747481
1682.023071,(null),0.110277,0.775752
1691.215576,(null),0.102506,0.789758
1700.348877,(null),0.09824099999999999,0.797552
1709.422852,(null),0.097664,0.798612
1718.4375,(null),0.08992,0.81298
1727.392822,(null),0.09225800000000001,0.808615
1736.28894,(null),0.08649800000000001,0.819411
1745.125732,(null),0.085815,0.820701
1753.903198,(null),0.085955,0.820437
1762.621338,(null),0.085268,0.821735
1771.280273,(null),0.083008,0.826023
1779.879761,(null),0.085007,0.822229
