Wavelength,Intensity,Absorbance,Reflectance
852.15979,(null),1.414585,0.038496
862.976807,(null),1.413547,0.038588
873.755859,(null),1.384099,0.041295
884.496948,(null),1.306953,0.049323
895.200073,(null),1.229683,0.058927
905.8652949999999,(null),1.189392,0.06465600000000001
916.492554,(null),1.181319,0.065869
927.081848,(null),1.169816,0.067637
937.633179,(null),1.176948,0.066535
948.1465449999999,(null),1.18354,0.06553299999999999
958.622009,(null),1.212968,0.06124
969.059509,(null),1.223932,0.059713
979.4590449999999,(null),1.224579,0.059624
989.820679,(null),1.227343,0.059246
1000.144287,(null),1.215258,0.060917
1010.429993,(null),1.205593,0.062288
1020.677734,(null),1.194141,0.063953
1030.887573,(null),1.180081,0.066057
1041.059326,(null),1.172402,0.067235
1051.193237,(null),1.162492,0.068787
1061.289185,(null),1.161329,0.06897200000000001
1071.347168,(null),1.158399,0.069439
1081.36731,(null),1.160181,0.06915399999999999
1091.349365,(null),1.166588,0.06814199999999999
1101.293457,(null),1.173015,0.06714100000000001
1111.199707,(null),1.185493,0.06523900000000001
1121.067871,(null),1.191539,0.06433700000000001
1130.898193,(null),1.214097,0.061081
1140.690552,(null),1.258843,0.055101
1150.444946,(null),1.300614,0.050048
1160.161377,(null),1.323124,0.04752
1169.839844,(null),1.335873,0.046145
1179.480469,(null),1.339364,0.045776
1189.083008,(null),1.342893,0.045405
1198.647705,(null),1.346869,0.044992
1208.174316,(null),1.349544,0.044715
1217.663086,(null),1.344546,0.045233
1227.113892,(null),1.34312,0.045382
1236.526733,(null),1.339951,0.045714
1245.901611,(null),1.337856,0.045935
1255.238525,(null),1.334926,0.046246
1264.537598,(null),1.336142,0.046117
1273.798584,(null),1.338179,0.045901
1283.021729,(null),1.338773,0.045838
1292.206787,(null),1.350423,0.044625
1301.354004,(null),1.361331,0.043518
1310.463257,(null),1.382221,0.041474
1319.534546,(null),1.405738,0.039288
1328.567871,(null),1.424244,0.037649
1337.563232,(null),1.448818,0.035578
1346.520752,(null),1.473861,0.033585
1355.440186,(null),1.488076,0.032503
1364.321777,(null),1.503256,0.031387
1373.165283,(null),1.526019,0.029784
1381.970947,(null),1.553622,0.02795
1390.738647,(null),1.598105,0.025229
1399.468384,(null),1.633448,0.023257
1408.160156,(null),1.658144,0.021971
1416.813965,(null),1.678311,0.020974
1425.429932,(null),1.681344,0.020828
1434.007812,(null),1.688943,0.020467
1442.547852,(null),1.685577,0.020626
1451.049805,(null),1.702706,0.019829
1459.513916,(null),1.689352,0.020448
1467.940063,(null),1.689327,0.020449
1476.328247,(null),1.691323,0.020355
1484.678467,(null),1.680317,0.020878
1492.990723,(null),1.675025,0.021134
1501.265137,(null),1.669965,0.021381
1509.501465,(null),1.651762,0.022297
1517.699951,(null),1.650051,0.022385
1525.860352,(null),1.629942,0.023445
1533.98291,(null),1.634687,0.023191
1542.067505,(null),1.623348,0.023804
1550.114136,(null),1.619848,0.023997
1558.122803,(null),1.617334,0.024136
1566.093506,(null),1.603746,0.024903
1574.026367,(null),1.598733,0.025192
1581.921143,(null),1.587557,0.025849
1589.778076,(null),1.569497,0.026947
1597.597046,(null),1.569592,0.026941
1605.37793,(null),1.576004,0.026546
1613.120972,(null),1.565524,0.027194
1620.82605,(null),1.564025,0.027288
1628.493164,(null),1.558535,0.027635
1636.122437,(null),1.545737,0.028462
1643.713623,(null),1.536549,0.02907
1651.266968,(null),1.522449,0.03003
1658.782227,(null),1.499463,0.031662
1666.259644,(null),1.465611,0.034229
1673.699097,(null),1.449977,0.035483
1681.100586,(null),1.440542,0.036263
1688.464111,(null),1.427587,0.037361
1695.789673,(null),1.415312,0.038432
1703.077271,(null),1.40933,0.038965
1710.326904,(null),1.395626,0.040214
1717.538696,(null),1.400059,0.039805
1724.712524,(null),1.388977,0.040834
1731.848267,(null),1.390121,0.040727
1738.946167,(null),1.384328,0.041274
1746.006104,(null),1.385902,0.041124
1753.028076,(null),1.398968,0.039905
1760.012085,(null),1.381502,0.041543
1766.95813,(null),1.385516,0.041161
1773.866333,(null),1.372423,0.042421
1780.73645,(null),1.361985,0.043453
