Wavelength,Intensity,Absorbance,Reflectance
853.104553,(null),0.577908,0.2643
863.782471,(null),0.5684709999999999,0.2701
874.427368,(null),0.578024,0.26423
885.039185,(null),0.585403,0.25977
895.6180419999999,(null),0.607161,0.24708
906.163879,(null),0.624831,0.23723
916.6767579999999,(null),0.6369590000000001,0.2307
927.156555,(null),0.649209,0.22428
937.603333,(null),0.651713,0.22299
948.017151,(null),0.642096,0.22798
958.397888,(null),0.637637,0.23034
968.745667,(null),0.635242,0.23161
979.060425,(null),0.640754,0.22869
989.342163,(null),0.642196,0.22793
999.590881,(null),0.648158,0.22482
1009.80658,(null),0.656134,0.22073
1019.989319,(null),0.662975,0.21728
1030.139038,(null),0.66638,0.21559
1040.255615,(null),0.670165,0.21371
1050.339355,(null),0.669811,0.21389
1060.390015,(null),0.667384,0.21509
1070.407593,(null),0.66586,0.21584
1080.392212,(null),0.665785,0.21588
1090.343872,(null),0.6666339999999999,0.21546
1100.262451,(null),0.66994,0.21383
1110.148071,(null),0.672098,0.21277
1120.00061,(null),0.676191,0.21077
1129.82019,(null),0.68553,0.20629
1139.606689,(null),0.70279,0.19825
1149.360229,(null),0.731622,0.18551
1159.080811,(null),0.760636,0.17353
1168.768311,(null),0.791933,0.16146
1178.422729,(null),0.8217719999999999,0.15074
1188.044312,(null),0.859388,0.13823
1197.63269,(null),0.890162,0.12878
1207.188232,(null),0.912435,0.12234
1216.710693,(null),0.9003640000000001,0.12579
1226.200073,(null),0.848956,0.14159
1235.656494,(null),0.800266,0.15839
1245.079956,(null),0.771478,0.16925
1254.470337,(null),0.756176,0.17532
1263.827637,(null),0.745875,0.17953
1273.1521,(null),0.740168,0.1819
1282.443359,(null),0.738152,0.18275
1291.701782,(null),0.735658,0.1838
1300.927124,(null),0.735518,0.18386
1310.119385,(null),0.7354039999999999,0.18391
1319.278687,(null),0.732894,0.18497
1328.405029,(null),0.736452,0.18346
1337.498291,(null),0.740013,0.18196
1346.558594,(null),0.7499209999999999,0.17786
1355.585815,(null),0.77564,0.16763
1364.580078,(null),0.804321,0.15692
1373.54126,(null),0.841966,0.14389
1382.469482,(null),0.881472,0.13138
1391.364746,(null),0.906165,0.12412
1400.226929,(null),0.895697,0.12715
1409.05603,(null),0.904871,0.12449
1417.852295,(null),0.905246,0.12438
1426.615356,(null),0.896997,0.12677
1435.345581,(null),0.887223,0.12965
1444.042725,(null),0.872752,0.13404
1452.706787,(null),0.859526,0.13819
1461.337891,(null),0.844099,0.14319
1469.936035,(null),0.828476,0.14843
1478.501099,(null),0.818588,0.15185
1487.033081,(null),0.810663,0.15465
1495.532227,(null),0.805041,0.15666
1503.998169,(null),0.799038,0.15884
1512.431274,(null),0.7959540000000001,0.15997
1520.831299,(null),0.795991,0.15996
1529.198242,(null),0.795633,0.16009
1537.532227,(null),0.794641,0.16046
1545.833252,(null),0.786816,0.16337
1554.101196,(null),0.780772,0.16566
1562.336182,(null),0.773874,0.16832
1570.538086,(null),0.773008,0.16865
1578.707031,(null),0.766824,0.17107
1586.842896,(null),0.762846,0.17264
1594.945801,(null),0.765475,0.1716
1603.015747,(null),0.764146,0.17213
1611.052612,(null),0.762921,0.17262
1619.056396,(null),0.763273,0.17248
1627.027344,(null),0.766224,0.17131
1634.965088,(null),0.767611,0.17076
1642.869995,(null),0.765608,0.17155
1650.741821,(null),0.765504,0.17159
1658.580566,(null),0.766495,0.1712
1666.386353,(null),0.760119,0.17373
1674.15918,(null),0.734107,0.18446
1681.898926,(null),0.704657,0.1974
1689.605591,(null),0.6690739999999999,0.21425
1697.279419,(null),0.660083,0.21873
1704.920044,(null),0.62377,0.23781
1712.527832,(null),0.615532,0.24236
1720.102539,(null),0.596712,0.2531
1727.644165,(null),0.6030990000000001,0.2494
1735.152832,(null),0.599452,0.25151
1742.62854,(null),0.5880069999999999,0.25822
1750.071167,(null),0.581301,0.26224
1757.480835,(null),0.578501,0.26394
1764.857422,(null),0.582269,0.26166
1772.20105,(null),0.5789029999999999,0.26369
1779.511597,(null),0.580934,0.26246
1786.789185,(null),0.585181,0.25991
1794.033813,(null),0.5789299999999999,0.26368
