Wavelength,Intensity,Absorbance,Reflectance
850.804993,(null),0.323532,0.474753
864.326233,(null),0.32752,0.47041
877.7882080000001,(null),0.336438,0.460853
891.1908570000001,(null),0.444563,0.359283
904.53418,(null),0.493709,0.320842
917.818237,(null),0.514232,0.306033
931.04303,(null),0.534257,0.292242
944.208496,(null),0.537667,0.289957
957.314636,(null),0.533034,0.293066
970.361511,(null),0.523351,0.299674
983.349121,(null),0.511984,0.307621
996.277405,(null),0.499285,0.316749
1009.146362,(null),0.485208,0.327184
1021.956055,(null),0.471343,0.337798
1034.706421,(null),0.459721,0.34696
1047.397461,(null),0.44661,0.35759
1060.029297,(null),0.435763,0.366638
1072.601807,(null),0.424407,0.376351
1085.11499,(null),0.413058,0.386315
1097.568848,(null),0.402796,0.395552
1109.963501,(null),0.392123,0.405394
1122.298828,(null),0.38139,0.41554
1134.574829,(null),0.37179,0.42482
1146.791504,(null),0.363266,0.433245
1158.948853,(null),0.355728,0.440831
1171.046997,(null),0.346384,0.450418
1183.085815,(null),0.341524,0.455487
1195.065308,(null),0.340937,0.456103
1206.985596,(null),0.34036,0.45671
1218.846558,(null),0.334294,0.463133
1230.648193,(null),0.320243,0.478362
1242.390503,(null),0.30928,0.49059
1254.073486,(null),0.300366,0.500765
1265.697266,(null),0.29314,0.50917
1277.261719,(null),0.286618,0.516871
1288.766846,(null),0.279609,0.52528
1300.212646,(null),0.27369,0.53249
1311.599243,(null),0.267586,0.540025
1322.926514,(null),0.262788,0.546024
1334.194458,(null),0.257664,0.552505
1345.403076,(null),0.253789,0.557457
1356.55249,(null),0.25233,0.55933
1367.642456,(null),0.250805,0.5613
1378.673218,(null),0.251526,0.560369
1389.644775,(null),0.25452,0.55652
1400.556885,(null),0.255671,0.555046
1411.40979,(null),0.264785,0.543519
1422.203369,(null),0.279977,0.5248350000000001
1432.937622,(null),0.293176,0.509125
1443.612671,(null),0.300404,0.500721
1454.228271,(null),0.301284,0.499708
1464.784668,(null),0.299501,0.501763
1475.281738,(null),0.29611,0.5057
1485.719604,(null),0.293841,0.508346
1496.098145,(null),0.289702,0.513213
1506.417236,(null),0.284744,0.519106
1516.677246,(null),0.279674,0.5252019999999999
1526.877808,(null),0.276371,0.529211
1537.019043,(null),0.274115,0.531967
1547.101074,(null),0.271632,0.535018
1557.123779,(null),0.27033,0.53662
1567.08728,(null),0.267187,0.5405219999999999
1576.991333,(null),0.265536,0.54258
1586.836182,(null),0.262258,0.546691
1596.621704,(null),0.25903,0.55077
1606.3479,(null),0.258172,0.551859
1616.014893,(null),0.258533,0.5514
1625.622437,(null),0.258823,0.551032
1635.170776,(null),0.258365,0.551614
1644.659912,(null),0.257361,0.55289
1654.0896,(null),0.261102,0.548148
1663.460083,(null),0.268559,0.538817
1672.77124,(null),0.287151,0.5162369999999999
1682.023071,(null),0.308438,0.491544
1691.215576,(null),0.314321,0.48493
1700.348877,(null),0.319318,0.479382
1709.422852,(null),0.325691,0.472399
1718.4375,(null),0.327931,0.469969
1727.392822,(null),0.328097,0.469789
1736.28894,(null),0.324383,0.473824
1745.125732,(null),0.327567,0.470363
1753.903198,(null),0.326382,0.471648
1762.621338,(null),0.327681,0.470239
1771.280273,(null),0.32839,0.46947
1779.879761,(null),0.325251,0.472878
