Wavelength,Intensity,Absorbance,Reflectance
852.15979,(null),0.119657,0.759177
862.976807,(null),0.119132,0.760095
873.755859,(null),0.116168,0.765301
884.496948,(null),0.10227,0.7901899999999999
895.200073,(null),0.07811,0.83539
905.8652949999999,(null),0.071073,0.849038
916.492554,(null),0.065877,0.859257
927.081848,(null),0.061351,0.868258
937.633179,(null),0.055162,0.8807199999999999
948.1465449999999,(null),0.052164,0.886821
958.622009,(null),0.051492,0.888194
969.059509,(null),0.053637,0.883818
979.4590449999999,(null),0.056412,0.878189
989.820679,(null),0.057387,0.87622
1000.144287,(null),0.057362,0.87627
1010.429993,(null),0.057003,0.876995
1020.677734,(null),0.056001,0.87902
1030.887573,(null),0.055202,0.8806389999999999
1041.059326,(null),0.05356,0.88398
1051.193237,(null),0.052126,0.886899
1061.289185,(null),0.051195,0.888802
1071.347168,(null),0.049821,0.891618
1081.36731,(null),0.048572,0.894186
1091.349365,(null),0.0476,0.8962
1101.293457,(null),0.046711,0.898026
1111.199707,(null),0.046527,0.898407
1121.067871,(null),0.046165,0.899156
1130.898193,(null),0.047127,0.897166
1140.690552,(null),0.050736,0.889742
1150.444946,(null),0.058107,0.874768
1160.161377,(null),0.064779,0.861432
1169.839844,(null),0.07106700000000001,0.8490490000000001
1179.480469,(null),0.07670399999999999,0.8381
1189.083008,(null),0.08506900000000001,0.822112
1198.647705,(null),0.093543,0.806226
1208.174316,(null),0.100534,0.7933519999999999
1217.663086,(null),0.099859,0.794586
1227.113892,(null),0.08921800000000001,0.814295
1236.526733,(null),0.080108,0.831557
1245.901611,(null),0.07508099999999999,0.841238
1255.238525,(null),0.072078,0.847075
1264.537598,(null),0.070746,0.849677
1273.798584,(null),0.069271,0.852568
1283.021729,(null),0.06750299999999999,0.856046
1292.206787,(null),0.066487,0.858051
1301.354004,(null),0.065368,0.860264
1310.463257,(null),0.066223,0.858573
1319.534546,(null),0.067875,0.855313
1328.567871,(null),0.07156700000000001,0.848073
1337.563232,(null),0.076283,0.838913
1346.520752,(null),0.081931,0.828074
1355.440186,(null),0.088169,0.816265
1364.321777,(null),0.094138,0.805123
1373.165283,(null),0.100569,0.793288
1381.970947,(null),0.109481,0.7771749999999999
1390.738647,(null),0.125006,0.749884
1399.468384,(null),0.141384,0.722131
1408.160156,(null),0.165764,0.68271
1416.813965,(null),0.192519,0.64192
1425.429932,(null),0.215616,0.608673
1434.007812,(null),0.231566,0.586724
1442.547852,(null),0.240237,0.575126
1451.049805,(null),0.244474,0.569542
1459.513916,(null),0.24559,0.56808
1467.940063,(null),0.244962,0.568903
1476.328247,(null),0.242705,0.571867
1484.678467,(null),0.239685,0.575857
1492.990723,(null),0.235528,0.581396
1501.265137,(null),0.231662,0.586595
1509.501465,(null),0.227586,0.592126
1517.699951,(null),0.224082,0.596923
1525.860352,(null),0.220816,0.601428
1533.98291,(null),0.21837,0.60483
1542.067505,(null),0.216929,0.606836
1550.114136,(null),0.214329,0.610479
1558.122803,(null),0.212431,0.6131529999999999
1566.093506,(null),0.209455,0.6173689999999999
1574.026367,(null),0.206175,0.62205
1581.921143,(null),0.201946,0.628136
1589.778076,(null),0.195426,0.637638
1597.597046,(null),0.189841,0.645891
1605.37793,(null),0.182919,0.656268
1613.120972,(null),0.17716,0.66503
1620.82605,(null),0.171473,0.673794
1628.493164,(null),0.166606,0.681387
1636.122437,(null),0.161629,0.689241
1643.713623,(null),0.154922,0.699968
1651.266968,(null),0.149232,0.709199
1658.782227,(null),0.141724,0.721566
1666.259644,(null),0.135255,0.732394
1673.699097,(null),0.132467,0.737111
1681.100586,(null),0.132771,0.736595
1688.464111,(null),0.13252,0.73702
1695.789673,(null),0.130881,0.739808
1703.077271,(null),0.127233,0.746048
1710.326904,(null),0.124776,0.750281
1717.538696,(null),0.124939,0.75
1724.712524,(null),0.124562,0.750651
1731.848267,(null),0.123203,0.753004
1738.946167,(null),0.119847,0.758845
1746.006104,(null),0.120168,0.758284
1753.028076,(null),0.120384,0.757907
1760.012085,(null),0.118543,0.761127
1766.95813,(null),0.118598,0.76103
1773.866333,(null),0.118164,0.761791
1780.73645,(null),0.1192,0.76
