Wavelength,Intensity,Absorbance,Reflectance
852.15979,(null),0.185723,0.652044
862.976807,(null),0.184089,0.654502
873.755859,(null),0.186075,0.651516
884.496948,(null),0.162758,0.687451
895.200073,(null),0.125348,0.749294
905.8652949999999,(null),0.115509,0.766463
916.492554,(null),0.107758,0.780265
927.081848,(null),0.099427,0.795377
937.633179,(null),0.091672,0.809707
948.1465449999999,(null),0.086821,0.818802
958.622009,(null),0.084689,0.822832
969.059509,(null),0.083472,0.825141
979.4590449999999,(null),0.08545,0.82139
989.820679,(null),0.08819399999999999,0.816218
1000.144287,(null),0.092352,0.80844
1010.429993,(null),0.095167,0.803217
1020.677734,(null),0.09664200000000001,0.800494
1030.887573,(null),0.09787800000000001,0.798219
1041.059326,(null),0.097413,0.799074
1051.193237,(null),0.096382,0.800973
1061.289185,(null),0.094946,0.803626
1071.347168,(null),0.094115,0.805165
1081.36731,(null),0.093031,0.807177
1091.349365,(null),0.091542,0.8099499999999999
1101.293457,(null),0.09005100000000001,0.812735
1111.199707,(null),0.088521,0.815603
1121.067871,(null),0.086826,0.818793
1130.898193,(null),0.085716,0.820888
1140.690552,(null),0.086684,0.819061
1150.444946,(null),0.090002,0.812827
1160.161377,(null),0.09543500000000001,0.802722
1169.839844,(null),0.101146,0.792235
1179.480469,(null),0.111294,0.773938
1189.083008,(null),0.123422,0.752624
1198.647705,(null),0.127194,0.746115
1208.174316,(null),0.131536,0.738693
1217.663086,(null),0.134701,0.733329
1227.113892,(null),0.132395,0.737233
1236.526733,(null),0.127577,0.745458
1245.901611,(null),0.127234,0.746047
1255.238525,(null),0.127762,0.74514
1264.537598,(null),0.126934,0.7465619999999999
1273.798584,(null),0.125644,0.748783
1283.021729,(null),0.124746,0.750333
1292.206787,(null),0.123607,0.7523030000000001
1301.354004,(null),0.119959,0.758649
1310.463257,(null),0.118151,0.761814
1319.534546,(null),0.11778,0.76247
1328.567871,(null),0.118829,0.760626
1337.563232,(null),0.122334,0.754512
1346.520752,(null),0.129066,0.742906
1355.440186,(null),0.138984,0.726133
1364.321777,(null),0.147086,0.712712
1373.165283,(null),0.148649,0.710151
1381.970947,(null),0.151683,0.7052079999999999
1390.738647,(null),0.155516,0.699011
1399.468384,(null),0.155108,0.699668
1408.160156,(null),0.160705,0.690709
1416.813965,(null),0.17359,0.67052
1425.429932,(null),0.19499,0.63828
1434.007812,(null),0.22347,0.59776
1442.547852,(null),0.256841,0.553553
1451.049805,(null),0.2921,0.5104
1459.513916,(null),0.326443,0.471582
1467.940063,(null),0.358044,0.438486
1476.328247,(null),0.384747,0.412338
1484.678467,(null),0.402572,0.395756
1492.990723,(null),0.408753,0.390164
1501.265137,(null),0.407349,0.391427
1509.501465,(null),0.404794,0.393737
1517.699951,(null),0.40284,0.39551
1525.860352,(null),0.400132,0.397986
1533.98291,(null),0.395133,0.402594
1542.067505,(null),0.391623,0.405861
1550.114136,(null),0.387965,0.409294
1558.122803,(null),0.386821,0.410373
1566.093506,(null),0.386531,0.410647
1574.026367,(null),0.38361,0.41342
1581.921143,(null),0.375649,0.421067
1589.778076,(null),0.362533,0.433977
1597.597046,(null),0.350698,0.445966
1605.37793,(null),0.33836,0.45882
1613.120972,(null),0.327267,0.470688
1620.82605,(null),0.315369,0.483761
1628.493164,(null),0.303263,0.497436
1636.122437,(null),0.294677,0.507368
1643.713623,(null),0.284076,0.519905
1651.266968,(null),0.270143,0.536855
1658.782227,(null),0.254353,0.556733
1666.259644,(null),0.236386,0.580248
1673.699097,(null),0.222786,0.598707
1681.100586,(null),0.215931,0.608232
1688.464111,(null),0.207377,0.62033
1695.789673,(null),0.202117,0.627889
1703.077271,(null),0.198617,0.63297
1710.326904,(null),0.19398,0.63976
1717.538696,(null),0.193408,0.640607
1724.712524,(null),0.191062,0.644077
1731.848267,(null),0.190516,0.644888
1738.946167,(null),0.188626,0.6477000000000001
1746.006104,(null),0.189267,0.646745
1753.028076,(null),0.189851,0.645876
1760.012085,(null),0.185998,0.651631
1766.95813,(null),0.187492,0.649394
1773.866333,(null),0.188506,0.647879
1780.73645,(null),0.18491,0.65327
