Wavelength,Intensity,Absorbance,Reflectance
850.804993,(null),0.077653,0.836271
864.326233,(null),0.079259,0.833184
877.7882080000001,(null),0.07634000000000001,0.8388
891.1908570000001,(null),0.052673,0.885782
904.53418,(null),0.041812,0.908214
917.818237,(null),0.035604,0.921289
931.04303,(null),0.031872,0.92924
944.208496,(null),0.02751,0.93862
957.314636,(null),0.027159,0.939379
970.361511,(null),0.028528,0.936423
983.349121,(null),0.031067,0.930964
996.277405,(null),0.031791,0.929414
1009.146362,(null),0.031133,0.930823
1021.956055,(null),0.030768,0.931605
1034.706421,(null),0.030242,0.932734
1047.397461,(null),0.028737,0.935972
1060.029297,(null),0.028322,0.936867
1072.601807,(null),0.028137,0.937266
1085.11499,(null),0.027336,0.938997
1097.568848,(null),0.028022,0.937515
1109.963501,(null),0.031704,0.9296
1122.298828,(null),0.042345,0.9071
1134.574829,(null),0.044793,0.9020010000000001
1146.791504,(null),0.039009,0.914094
1158.948853,(null),0.040861,0.910205
1171.046997,(null),0.044179,0.903277
1183.085815,(null),0.047465,0.896468
1195.065308,(null),0.053616,0.883861
1206.985596,(null),0.061271,0.868418
1218.846558,(null),0.061158,0.868644
1230.648193,(null),0.052461,0.886215
1242.390503,(null),0.046972,0.897487
1254.073486,(null),0.045068,0.90143
1265.697266,(null),0.043809,0.904047
1277.261719,(null),0.043158,0.905403
1288.766846,(null),0.042493,0.906791
1300.212646,(null),0.042361,0.907066
1311.599243,(null),0.042604,0.906559
1322.926514,(null),0.045049,0.901469
1334.194458,(null),0.048765,0.8937889999999999
1345.403076,(null),0.054287,0.882497
1356.55249,(null),0.059326,0.872316
1367.642456,(null),0.064261,0.86246
1378.673218,(null),0.068762,0.853568
1389.644775,(null),0.078676,0.834303
1400.556885,(null),0.09143900000000001,0.810142
1411.40979,(null),0.113231,0.770494
1422.203369,(null),0.137228,0.729075
1432.937622,(null),0.153853,0.701693
1443.612671,(null),0.162624,0.6876640000000001
1454.228271,(null),0.165549,0.683048
1464.784668,(null),0.165833,0.682601
1475.281738,(null),0.163778,0.685839
1485.719604,(null),0.160462,0.691095
1496.098145,(null),0.156752,0.697024
1506.417236,(null),0.15321,0.70273
1516.677246,(null),0.150468,0.707183
1526.877808,(null),0.149249,0.709171
1537.019043,(null),0.148857,0.709811
1547.101074,(null),0.148131,0.710999
1557.123779,(null),0.147229,0.712477
1567.08728,(null),0.145347,0.715571
1576.991333,(null),0.143532,0.718568
1586.836182,(null),0.139573,0.725149
1596.621704,(null),0.136296,0.730641
1606.3479,(null),0.132517,0.737026
1616.014893,(null),0.130746,0.740038
1625.622437,(null),0.129291,0.742521
1635.170776,(null),0.135348,0.7322380000000001
1644.659912,(null),0.143109,0.719268
1654.0896,(null),0.126664,0.747026
1663.460083,(null),0.103242,0.788421
1672.77124,(null),0.09131300000000001,0.810377
1682.023071,(null),0.087521,0.817484
1691.215576,(null),0.089106,0.814505
1700.348877,(null),0.086522,0.819366
1709.422852,(null),0.085467,0.821359
1718.4375,(null),0.08418,0.8238
1727.392822,(null),0.082888,0.826251
1736.28894,(null),0.079079,0.83353
1745.125732,(null),0.080387,0.831023
1753.903198,(null),0.080054,0.83166
1762.621338,(null),0.078898,0.833877
1771.280273,(null),0.077588,0.836396
1779.879761,(null),0.076374,0.838737
